CVE ID,Ransomware Group Association,,,,,
CVE-2021-27101,"Clop, CryptoMix",,,,,
CVE-2021-27102,"Clop, CryptoMix",,,,,
CVE-2021-27103,"Clop, CryptoMix",,,,,
CVE-2021-27104,"Clop, CryptoMix",,,,,
CVE-2021-27876,BlackCat (ALPHV),,,,,
CVE-2021-27877,BlackCat (ALPHV),,,,,
CVE-2021-27878,BlackCat (ALPHV),,,,,
CVE-2021-28799,"eCh0raix, Qlocker",,,,,
CVE-2021-30116,REvil (Sodinokibi),,,,,
CVE-2021-30117,REvil (Sodinokibi),,,,,
CVE-2021-30118,REvil (Sodinokibi),,,,,
CVE-2021-30119,REvil (Sodinokibi),,,,,
CVE-2021-30120,REvil (Sodinokibi),,,,,
CVE-2021-30121,REvil (Sodinokibi),,,,,
CVE-2021-30201 ,REvil (Sodinokibi),,,,,
CVE-2022-26522,"AvosLocker, Cuba",,,,,
CVE-2021-31166,Unidentified,,,,,
CVE-2021-31206,AvosLocker,,,,,
CVE-2021-31207,"AvosLocker, Babuk, BianLian, BitLock, BlackByte, BlackCat (ALPHV), Conti, HermeticWiper, Hive, Karma, LockFile, LV",,,,,
CVE-2021-32648,WhisperGate,,,,,
CVE-2021-33558,Hive,,,,,
CVE-2021-34473,"AtomSilo, Avoslocker, Babuk, BianLian, BlackByte, BlackCat (ALPHV), Conti, HermeticWiper, Night Sky, Hive, Karma, Khonsari, LockBit, LockFile, LV, Rook
",,,,,
CVE-2021-34523,"AvosLocker, Babuk, BianLian, BlackByte, BlackCat (ALPHV), BitLock, Conti, HermeticWiper, Hive, Karma, LockFile, LV",,,,,
CVE-2021-34527,"Black Basta, Cerber, Conti, Magniber, Ransom Cartel, Vice Society ",,,,,
CVE-2021-34730,Unidentified,,,,,
CVE-2021-35211,"Clop, CryptoMix",,,,,
CVE-2021-36942,"Conti, LockFile ",,,,,
CVE-2021-38647,Unidentified,,,,,
CVE-2021-40438,Ryuk,,,,,
CVE-2021-40444,"Cerber, Conti, Diavol, Magniber",,,,,
CVE-2021-40449,Unidentified,,,,,
CVE-2021-40539,"AvosLocker, Cerber, Trigona",,,,,
CVE-2021-41773,Stave,,,,,
CVE-2021-42013,"Lorenz, Stave ",,,,,
CVE-2021-42258,Unidentified,,,,,
CVE-2021-42278,"Black Basta, Conti",,,,,
CVE-2021-42287,"Black Basta, Conti",,,,,
CVE-2021-42321,Hive,,,,,
CVE-2021-44228,"AvosLocker, Cheerscrypt, Conti, Khonsari, Memento, NightSky, TellYouThePass, WhisperGate",,,,,
CVE-2021-44832,AvosLocker,,,,,
CVE-2021-45046,AvosLocker,,,,,
CVE-2021-45105,AvosLocker,,,,,
CVE-2022-0215,WhisperGate,,,,,
CVE-2023-20813,Nokoyawa,,,,,
CVE-2022-26523,"AvosLocker, Cuba",,,,,
CVE-2022-21969,LockBit,,,,,
CVE-2022-22279,LockBit,,,,,
CVE-2022-22954,"AvosLocker, BigBossHorse, RAR1Ransom, Satan",,,,,
CVE-2021-26134,Avoslocker,,,,,
CVE-2022-23181,HermeticWiper,,,,,
CVE-2022-24521,"Cuba, Nokoyawa, Vice Society",,,,,
CVE-2022-24990,"H0lyGh0st, Maui",,,,,
CVE-2022-26134,"AvosLocker, Cerber, CryptoMix",,,,,
CVE-2022-26138,"AvosLocker, Cerber",,,,,
CVE-2022-26352,H0lyGh0st,,,,,
CVE-2022-26500,AvosLocker,,,,,
CVE-2022-26501,AvosLocker,,,,,
CVE-2022-27510,Royal,,,,,
CVE-2022-27593,DeadBolt,,,,,
CVE-2022-29499,Lorenz,,,,,
CVE-2022-30190,"Bisamware, Black Basta",,,,,
CVE-2022-31199,Clop,,,,,
CVE-2022-36537,LockBit,,,,,
CVE-2022-37969,Nokoyawa,,,,,
CVE-2022-41040,"LockBit, Play",,,,,
CVE-2022-41073,LocKBit,,,,,
CVE-2022-41080,"Cuba, Hive, Play",,,,,
CVE-2022-41082,"Hive, Play ",,,,,
CVE-2022-41091,"LocKBit, Magniber",,,,,
CVE-2022-41125,LocKBit,,,,,
CVE-2022-41128,LocKBit,,,,,
CVE-2022-44698,Magniber,,,,,
CVE-2022-47966,Buhti,,,,,
CVE-2022-47986,"Buhti, IceFire",,,,,
CVE-2023-0669,"Clop, CryptoMix, BlackCat (ALPHV)",,,,,
CVE-2023-2033,Nokoyawa,,,,,
CVE-2023-21674,Play ,,,,,
CVE-2023-23376,Nokoyawa,,,,,
CVE-2023-24880,"Cerber, Magniber",,,,,
CVE-2023-27350,"Bl00dy, Buhti, Clop, LockBit",,,,,
CVE-2023-27351,"Clop, LockBit",,,,,
CVE-2023-27532,BlackBasta,,,,,
CVE-2023-28206,Nokoyawa,,,,,
CVE-2023-28252,Nokoyawa,,,,,
CVE-2023-3079,Clop,,,,,
CVE-2023-34362,Clop,,,,,
CVE-2023-35036,Clop,,,,,
CVE-2023-35708,Clop,,,,,
